DateTime,Amount of Rainfall,Code
8/1/2020 2:00,1,435
8/1/2020 5:00,9,435
8/1/2020 8:00,7,435
8/1/2020 11:00,1,435
8/1/2020 14:00,5,435
8/1/2020 17:00,0,435
8/1/2020 20:00,5,435
8/1/2020 23:00,6,435
8/2/2020 2:00,0,435
8/2/2020 5:00,8,435
8/2/2020 8:00,2,435
8/2/2020 11:00,1,435
8/2/2020 14:00,4,435
8/2/2020 17:00,0,435
8/2/2020 20:00,5,435
8/2/2020 23:00,1,435
8/3/2020 2:00,7,435
8/3/2020 5:00,1,435
8/3/2020 8:00,1,435
8/3/2020 11:00,28,435
8/3/2020 14:00,23,435
8/3/2020 17:00,1,435
8/3/2020 20:00,9,435
8/3/2020 23:00,7,435
8/4/2020 2:00,1,435
8/4/2020 5:00,5,435
8/4/2020 8:00,0,435
8/4/2020 11:00,5,435
8/4/2020 14:00,6,435
8/4/2020 17:00,0,435
8/4/2020 20:00,8,435
8/4/2020 23:00,2,435
8/5/2020 2:00,1,435
8/5/2020 5:00,4,435
8/5/2020 8:00,0,435
8/5/2020 11:00,5,435
8/5/2020 14:00,1,435
8/5/2020 17:00,7,435
8/5/2020 20:00,1,435
8/5/2020 23:00,1,435
8/6/2020 2:00,28,435
8/6/2020 5:00,23,435
8/6/2020 8:00,1,435
8/6/2020 11:00,9,435
8/6/2020 14:00,7,435
8/6/2020 17:00,1,435
8/6/2020 20:00,5,435
8/6/2020 23:00,0,435
8/7/2020 2:00,5,435
8/7/2020 5:00,6,435
8/7/2020 8:00,0,435
8/7/2020 11:00,8,435
8/7/2020 14:00,2,435
8/7/2020 17:00,1,435
8/7/2020 20:00,5,435
8/7/2020 23:00,0,435
8/8/2020 2:00,1,435
8/8/2020 5:00,2,435
8/8/2020 8:00,2,435
8/8/2020 11:00,2,435
8/8/2020 14:00,10,435
8/8/2020 17:00,5,435
8/8/2020 20:00,3,435
8/8/2020 23:00,7,435
8/9/2020 2:00,9,435
8/9/2020 5:00,2,435
8/9/2020 8:00,2,435
8/9/2020 11:00,1,435
8/9/2020 14:00,5,435
8/9/2020 17:00,0,435
8/9/2020 20:00,1,435
8/9/2020 23:00,2,435
8/10/2020 2:00,2,435
8/10/2020 5:00,2,435
8/10/2020 8:00,10,435
8/10/2020 11:00,5,435
8/10/2020 14:00,3,435
8/10/2020 17:00,7,435
8/10/2020 20:00,9,435
8/10/2020 23:00,2,435
8/11/2020 2:00,2,435
8/11/2020 5:00,1,435
8/11/2020 8:00,5,435
8/11/2020 11:00,0,435
8/11/2020 14:00,1,435
8/11/2020 17:00,2,435
8/11/2020 20:00,2,435
8/11/2020 23:00,2,435
8/12/2020 2:00,10,435
8/12/2020 5:00,2,435
8/12/2020 8:00,4,435
8/12/2020 11:00,0,435
8/12/2020 14:00,2,435
8/12/2020 17:00,2,435
8/12/2020 20:00,15,435
8/12/2020 23:00,1,435
13/8/2020 2:00,7,435
13/8/2020 5:00,1,435
13/8/2020 8:00,3,435
13/8/2020 11:00,3,435
13/8/2020 14:00,7,435
13/8/2020 17:00,5,435
13/8/2020 20:00,14,435
13/8/2020 23:00,2,435
14/8/2020 2:00,9,435
14/8/2020 5:00,2,435
14/8/2020 8:00,1,435
14/8/2020 11:00,1,435
14/8/2020 14:00,9,435
14/8/2020 17:00,2,435
14/8/2020 20:00,4,435
14/8/2020 23:00,0,435
15/8/2020 2:00,2,435
15/8/2020 5:00,2,435
15/8/2020 8:00,15,435
15/8/2020 11:00,1,435
15/8/2020 14:00,7,435
15/8/2020 17:00,1,435
15/8/2020 20:00,3,435
15/8/2020 23:00,3,435
16/8/2020 2:00,7,435
16/8/2020 5:00,5,435
16/8/2020 8:00,14,435
16/8/2020 11:00,2,435
16/8/2020 14:00,9,435
16/8/2020 17:00,2,435
16/8/2020 20:00,1,435
16/8/2020 23:00,1,435
17/8/2020 2:00,9,435
17/8/2020 5:00,2,435
17/8/2020 8:00,4,435
17/8/2020 11:00,0,435
17/8/2020 14:00,2,435
17/8/2020 17:00,2,435
17/8/2020 20:00,15,435
17/8/2020 23:00,1,435
18/8/2020 2:00,7,435
18/8/2020 5:00,1,435
18/8/2020 8:00,7,435
18/8/2020 11:00,12,435
18/8/2020 14:00,4,435
18/8/2020 17:00,2,435
18/8/2020 20:00,5,435
18/8/2020 23:00,5,435
19/8/2020 2:00,1,435
19/8/2020 5:00,70,435
19/8/2020 8:00,2,435
19/8/2020 11:00,5,435
19/8/2020 14:00,6,435
19/8/2020 17:00,0,435
19/8/2020 20:00,5,435
19/8/2020 23:00,0,435
20/8/2020 2:00,3,435
20/8/2020 5:00,3,435
20/8/2020 8:00,1,435
20/8/2020 11:00,2,435
20/8/2020 14:00,5,435
20/8/2020 17:00,5,435
20/8/2020 20:00,1,435
20/8/2020 23:00,4,435
21/8/2020 2:00,1,435
21/8/2020 5:00,9,435
21/8/2020 8:00,7,435
21/8/2020 11:00,12,435
21/8/2020 14:00,4,435
21/8/2020 17:00,2,435
21/8/2020 20:00,5,435
21/8/2020 23:00,5,435
22/8/2020 2:00,1,435
22/8/2020 5:00,70,435
22/8/2020 8:00,2,435
22/8/2020 11:00,5,435
